"","tf","cell_type","avg","std"
"98","AR","healthy.MAIT cells",-2.16601850884305,1.13604960741001
"99","AR","recovered_mild.Atypical NKT cells",-2.51351144015234,0.893393829233375
"100","AR","recovered_mild.CD8+ CD73+ regulatory T cells",-2.67059619784371,1.09760003430874
"101","AR","recovered_mild.CD8+ central memory T cells",-2.65940395547821,1.14581165712606
"102","AR","recovered_mild.CD8+ cycling effector T cells",-2.04963377783428,1.14640802333695
"103","AR","recovered_mild.CD8+ effector memory T cells 1",-2.61808990911399,1.14046135314724
"104","AR","recovered_mild.CD8+ effector memory T cells 2",-2.30052526289318,1.14736554781445
"105","AR","recovered_mild.CD8+ naive T cells",-2.65448881698789,1.07587270101976
"106","AR","recovered_mild.CD8+ NK-like early effector T cells",-2.86641892307416,1.12882476083535
"107","AR","recovered_mild.CD8+ NK-like TEMRA cells",-2.48074995132797,1.22258107957731
"108","AR","recovered_mild.CD8+ TEMRA cells",-2.52670121817673,1.15088394858063
"109","AR","recovered_mild.Gamma Delta T cells",-2.26966190394105,1.39102362704066
"110","AR","recovered_mild.MAIT cells",-2.33786659241055,1.13556120346847
"111","AR","recovered_severe.CD8+ CD73+ regulatory T cells",-3.00645217409761,1.14776289282314
"112","AR","recovered_severe.CD8+ central memory T cells",-2.67868585488156,1.20211330907965
"113","AR","recovered_severe.CD8+ cycling effector T cells",-1.92083918579811,1.31982470878417
"114","AR","recovered_severe.CD8+ effector memory T cells 1",-2.49185085438934,1.19520910610943
"115","AR","recovered_severe.CD8+ effector memory T cells 2",-2.20845267840965,1.28659391183307
"116","AR","recovered_severe.CD8+ exhausted T cells",-1.71550198551803,1.31593345989353
"117","AR","recovered_severe.CD8+ naive T cells",-2.99504003571107,1.14028568329643
"118","AR","recovered_severe.CD8+ NK-like early effector T cells",-2.65529280052996,1.06012651507495
"119","AR","recovered_severe.CD8+ NK-like TEMRA cells",-2.39601807929165,1.07826895196311
"120","AR","recovered_severe.CD8+ TEMRA cells",-2.77726223583112,1.13692111114042
"121","AR","recovered_severe.Gamma Delta T cells",-2.67142886298288,1.33217656731003
"122","AR","recovered_severe.MAIT cells",-2.43057012805864,1.16569617112804
"123","ARID2","active_mild.Atypical NKT cells",-4.33281149489983,1.10107688121377
"124","ARID2","active_mild.CD8+ CD73+ regulatory T cells",-3.828829929002,1.15502409684916
"125","ARID2","active_mild.CD8+ central memory T cells",-4.0133402093999,1.18855887947231
"126","ARID2","active_mild.CD8+ cycling effector T cells",-3.15511087570115,1.57604480302392
"127","ARID2","active_mild.CD8+ effector memory T cells 1",-3.87868057497329,1.23189890281961
"128","ARID2","active_mild.CD8+ effector memory T cells 2",-3.6503558231134,1.32327614278037
"129","ARID2","active_mild.CD8+ naive T cells",-3.99960480644842,1.18575898536614
"130","ARID2","active_mild.CD8+ NK-like early effector T cells",-4.04875505321942,1.28845346830159
"131","ARID2","active_mild.CD8+ NK-like TEMRA cells",-3.83196936042342,1.27284499116116
"132","ARID2","active_mild.CD8+ TEMRA cells",-4.02032498800898,1.19379285623799
"133","ARID2","active_mild.Gamma Delta T cells",-4.07210064473312,1.28456290396686
"134","ARID2","active_mild.MAIT cells",-3.45073264233641,1.26325480379539
"135","ARID2","active_severe.Atypical NKT cells",-4.76525115687409,0.979849650539135
"136","ARID2","active_severe.CD8+ CD73+ regulatory T cells",-3.87136883440652,1.21787519181128
"137","ARID2","active_severe.CD8+ central memory T cells",-3.94100686680991,1.17782145309065
"138","ARID2","active_severe.CD8+ cycling effector T cells",-3.99776668866631,1.20991765598937
"139","ARID2","active_severe.CD8+ effector memory T cells 1",-4.00345806624111,1.21900385889948
"140","ARID2","active_severe.CD8+ effector memory T cells 2",-3.81509592195234,1.33976410703768
"141","ARID2","active_severe.CD8+ exhausted T cells",-5.68892238994599,NA
"142","ARID2","active_severe.CD8+ naive T cells",-4.10022262443655,1.16009260685346
"143","ARID2","active_severe.CD8+ NK-like early effector T cells",-4.15636562078635,1.23261682270202
"144","ARID2","active_severe.CD8+ NK-like TEMRA cells",-4.19187987882069,1.16529550574492
"145","ARID2","active_severe.CD8+ TEMRA cells",-4.28316673716472,1.11950952555077
"146","ARID2","active_severe.Gamma Delta T cells",-3.95597602471352,1.15468692591424
"147","ARID2","active_severe.MAIT cells",-3.94799000771644,1.14635820404867
"148","ARID2","healthy.CD8+ CD73+ regulatory T cells",-3.45020381762662,1.31743363989798
"149","ARID2","healthy.CD8+ central memory T cells",-3.64157304176832,1.26301926925138
"150","ARID2","healthy.CD8+ cycling effector T cells",-3.6530154019681,1.84879342058889
"151","ARID2","healthy.CD8+ effector memory T cells 1",-3.5325115546328,1.39066721014826
"152","ARID2","healthy.CD8+ effector memory T cells 2",-3.53635655928334,1.23128191143637
"153","ARID2","healthy.CD8+ exhausted T cells",-3.50689065156412,NA
"154","ARID2","healthy.CD8+ naive T cells",-3.60294051861231,1.33605581988659
"155","ARID2","healthy.CD8+ NK-like early effector T cells",-3.60896087582928,1.23851611479079
"156","ARID2","healthy.CD8+ NK-like TEMRA cells",-3.56025673477691,1.23993821877112
"157","ARID2","healthy.CD8+ TEMRA cells",-3.81948193960936,1.2664123094057
"158","ARID2","healthy.Gamma Delta T cells",-3.86070331045557,1.24510796767129
"159","ARID2","healthy.MAIT cells",-3.4278968775056,1.31173735286292
"160","ARID2","recovered_mild.Atypical NKT cells",-4.54621269101129,0.548825365734972
"161","ARID2","recovered_mild.CD8+ CD73+ regulatory T cells",-3.3752926496772,1.38677722009147
"162","ARID2","recovered_mild.CD8+ central memory T cells",-3.49342473938488,1.31680548263931
"163","ARID2","recovered_mild.CD8+ cycling effector T cells",-3.4743639127056,1.24482664390194
"164","ARID2","recovered_mild.CD8+ effector memory T cells 1",-3.5273204453347,1.33981218821502
"165","ARID2","recovered_mild.CD8+ effector memory T cells 2",-3.42292256361115,1.37780209775417
"166","ARID2","recovered_mild.CD8+ naive T cells",-3.52418636274881,1.32230034700714
"167","ARID2","recovered_mild.CD8+ NK-like early effector T cells",-3.52512541026258,1.28580522139051
"168","ARID2","recovered_mild.CD8+ NK-like TEMRA cells",-3.56280320800804,1.23901822234071
"169","ARID2","recovered_mild.CD8+ TEMRA cells",-3.64891190027274,1.31627600497997
"170","ARID2","recovered_mild.Gamma Delta T cells",-3.56481234513369,1.30429935768046
"171","ARID2","recovered_mild.MAIT cells",-3.4111858897646,1.37265560353782
"172","ARID2","recovered_severe.CD8+ CD73+ regulatory T cells",-3.89397841483333,1.24524656563604
"173","ARID2","recovered_severe.CD8+ central memory T cells",-3.86901261521889,1.221733111682
"174","ARID2","recovered_severe.CD8+ cycling effector T cells",-4.08218076520818,1.10842942663344
"175","ARID2","recovered_severe.CD8+ effector memory T cells 1",-3.77240308943545,1.27942008622574
"176","ARID2","recovered_severe.CD8+ effector memory T cells 2",-3.46902998641579,1.34720771851176
"177","ARID2","recovered_severe.CD8+ exhausted T cells",-3.03562363406722,1.30600080946171
"178","ARID2","recovered_severe.CD8+ naive T cells",-3.79667537468389,1.15505050050478
"179","ARID2","recovered_severe.CD8+ NK-like early effector T cells",-3.69498021914343,1.22780018639197
"180","ARID2","recovered_severe.CD8+ NK-like TEMRA cells",-3.94538111276658,1.1362424312577
"181","ARID2","recovered_severe.CD8+ TEMRA cells",-3.9674495968266,1.21152141819114
"182","ARID2","recovered_severe.Gamma Delta T cells",-3.94264098841886,1.16407730499362
"183","ARID2","recovered_severe.MAIT cells",-3.72527377012594,1.33234014773675
"184","ARID3A","active_mild.Atypical NKT cells",-2.79345402232344,0.988058183647679
"185","ARID3A","active_mild.CD8+ CD73+ regulatory T cells",-2.64677085731088,1.00964165921883
"186","ARID3A","active_mild.CD8+ central memory T cells",-2.35476146215406,1.14121085168544
"187","ARID3A","active_mild.CD8+ cycling effector T cells",-2.62125041742951,1.2424886478644
"188","ARID3A","active_mild.CD8+ effector memory T cells 1",-2.64665743677902,1.03457190060073
"189","ARID3A","active_mild.CD8+ effector memory T cells 2",-2.4990081788656,1.10867032076614
"190","ARID3A","active_mild.CD8+ naive T cells",-2.29809378620078,0.968841042271579
"191","ARID3A","active_mild.CD8+ NK-like early effector T cells",-2.43572473950743,1.17613673959966
"192","ARID3A","active_mild.CD8+ NK-like TEMRA cells",-2.46628676335767,1.10469487907363
"193","ARID3A","active_mild.CD8+ TEMRA cells",-2.57641522131731,1.08503095398688
"194","ARID3A","active_mild.Gamma Delta T cells",-2.47339010587781,0.966386496269235
"195","ARID3A","active_mild.MAIT cells",-2.13587948258155,1.11264900748958
"196","ARID3A","active_severe.Atypical NKT cells",-2.75741898262546,1.23924423557061
"197","ARID3A","active_severe.CD8+ CD73+ regulatory T cells",-2.48029086417134,0.930756328479146
"198","ARID3A","active_severe.CD8+ central memory T cells",-2.34733544154223,1.18332789505004
"199","ARID3A","active_severe.CD8+ cycling effector T cells",-2.69261871462435,1.12449064084915
"200","ARID3A","active_severe.CD8+ effector memory T cells 1",-2.59293415159672,1.09289631053569
"201","ARID3A","active_severe.CD8+ effector memory T cells 2",-2.47698961086643,1.12151134465196
"202","ARID3A","active_severe.CD8+ exhausted T cells",-4.03553216019512,NA
"203","ARID3A","active_severe.CD8+ naive T cells",-2.41842596976571,0.978430405090491
"204","ARID3A","active_severe.CD8+ NK-like early effector T cells",-2.52684099922567,1.2795506378416
"205","ARID3A","active_severe.CD8+ NK-like TEMRA cells",-2.42701643084819,1.13072765014553
"206","ARID3A","active_severe.CD8+ TEMRA cells",-2.55443666491718,1.07213263340205
"207","ARID3A","active_severe.Gamma Delta T cells",-1.92317283414932,1.12377251962741
"208","ARID3A","active_severe.MAIT cells",-2.15945793593779,1.14958510486952
"209","ARID3A","healthy.CD8+ CD73+ regulatory T cells",-2.42506981532751,1.17885997762962
"210","ARID3A","healthy.CD8+ central memory T cells",-1.95394961645027,1.19976839649264
"211","ARID3A","healthy.CD8+ cycling effector T cells",-2.39214617049225,1.25031687879889
"212","ARID3A","healthy.CD8+ effector memory T cells 1",-2.22088577936101,1.22713691777505
"213","ARID3A","healthy.CD8+ effector memory T cells 2",-2.12332311201033,1.15033788823502
