"","tf","cell_type","avg","std"
"127","ATF4","CD8+ naive T cells",-0.315790148504014,0.836925187983196
"128","ATF4","CD8+ NK-like early effector T cells",-0.140913187099845,1.03944269264088
"129","ATF4","CD8+ NK-like TEMRA cells",-0.00702845017085645,0.930924539135825
"130","ATF4","CD8+ TEMRA cells",0.0213149066967993,0.944132612370798
"131","ATF4","Gamma Delta T cells",0.0355964488596259,0.879050922157154
"132","ATF4","MAIT cells",0.188038029283641,0.908985989927141
"133","ATF6","CD8+ CD73+ regulatory T cells",-1.65243518892128,1.60191068478196
"134","ATF6","CD8+ central memory T cells",-1.19153939609399,1.5134605585454
"135","ATF6","CD8+ cycling effector T cells",-0.703445867848496,1.78225499291586
"136","ATF6","CD8+ effector memory T cells 1",-1.21218166725475,1.5812219382229
"137","ATF6","CD8+ effector memory T cells 2",-1.20534918282215,1.51096089031926
"138","ATF6","CD8+ exhausted T cells",-1.56341355193551,1.35649007959461
"139","ATF6","CD8+ naive T cells",-1.89304948260648,1.47929013179311
"140","ATF6","CD8+ NK-like early effector T cells",-0.731238385016828,1.36641688384305
"141","ATF6","CD8+ NK-like TEMRA cells",-0.754090870164481,1.4358370124204
"142","ATF6","CD8+ TEMRA cells",-0.944665419924704,1.64890753536724
"143","ATF6","Gamma Delta T cells",-0.578899479192467,1.45540591678038
"144","ATF6","MAIT cells",-0.82539304369675,1.71962878402382
"145","ATF7","CD8+ CD73+ regulatory T cells",-2.27460145911797,0.8953834530159
"146","ATF7","CD8+ central memory T cells",-2.24783732219479,1.00677680116391
"147","ATF7","CD8+ cycling effector T cells",-2.41038232004362,1.10931563778877
"148","ATF7","CD8+ effector memory T cells 1",-2.19182776661604,1.00004657204988
"149","ATF7","CD8+ effector memory T cells 2",-2.14962329606872,1.10799713478334
"150","ATF7","CD8+ exhausted T cells",-1.37174336643885,1.25264442151366
"151","ATF7","CD8+ naive T cells",-2.23365060444751,0.906118422043485
"152","ATF7","CD8+ NK-like early effector T cells",-1.97374717334881,1.05083281796509
"153","ATF7","CD8+ NK-like TEMRA cells",-2.2065270691271,1.02658241508588
"154","ATF7","CD8+ TEMRA cells",-2.27231579605075,0.977190171958518
"155","ATF7","Gamma Delta T cells",-2.20807455863437,0.844863022039393
"156","ATF7","MAIT cells",-2.12767456823138,0.948065247645403
"157","BACH1","CD8+ CD73+ regulatory T cells",-1.812003912738,0.932542082322322
"158","BACH1","CD8+ central memory T cells",-1.52288673346051,0.973657284691192
"159","BACH1","CD8+ cycling effector T cells",-1.33674894335228,0.964970876403388
"160","BACH1","CD8+ effector memory T cells 1",-1.47952354332224,0.969519770977554
"161","BACH1","CD8+ effector memory T cells 2",-1.42880601249415,0.960204294591148
"162","BACH1","CD8+ exhausted T cells",-1.66549596797593,0.921296880885371
"163","BACH1","CD8+ naive T cells",-1.7059293566409,0.824910261502501
"164","BACH1","CD8+ NK-like early effector T cells",-1.54117664168799,0.955936714362394
"165","BACH1","CD8+ NK-like TEMRA cells",-1.49039014739927,0.94902289027741
"166","BACH1","CD8+ TEMRA cells",-1.52316543716097,0.97650073483763
"167","BACH1","Gamma Delta T cells",-1.56091996856464,0.951966368030668
"168","BACH1","MAIT cells",-1.41214914071968,0.962209295237063
"169","BACH2","CD8+ CD73+ regulatory T cells",-2.61357937551274,1.06126808808079
"170","BACH2","CD8+ central memory T cells",-2.41732115057121,1.128625788403
"171","BACH2","CD8+ cycling effector T cells",-2.24847848303513,1.12854167849724
"172","BACH2","CD8+ effector memory T cells 1",-2.10143991120424,1.10296830354359
"173","BACH2","CD8+ effector memory T cells 2",-1.87331746217363,1.10438800333631
"174","BACH2","CD8+ exhausted T cells",-1.3674155597857,1.12408124682547
"175","BACH2","CD8+ naive T cells",-2.70972679107669,1.04254197398356
"176","BACH2","CD8+ NK-like early effector T cells",-2.16603341344722,1.08153484210117
"177","BACH2","CD8+ NK-like TEMRA cells",-1.99734151290514,1.12637140506784
"178","BACH2","CD8+ TEMRA cells",-2.13985994921238,1.11992880890353
"179","BACH2","Gamma Delta T cells",-1.96932007366074,1.07955505794913
"180","BACH2","MAIT cells",-2.37580198271755,1.11474571012803
"181","BATF","CD8+ CD73+ regulatory T cells",-2.87324768417378,1.35447866437906
"182","BATF","CD8+ central memory T cells",-2.5937621500703,1.3894934278765
"183","BATF","CD8+ cycling effector T cells",-2.42432954197922,1.52916381724987
